,charaka,book_name
29,43,Charak Samhita
30, Similarity of all substances is always the cause of increase and dissimilarity the  cause of decrease. Both effect by their application. ,Charak Samhita
31,44,Charak Samhita
32," Similarity brings unity while dissimilarity causes diversity. Again, similarity  carries the sense of 'equal' while dissimilarity is opposite. ",Charak Samhita
33,45,Charak Samhita
34," Mind, self and body-these three make a tripod on which the livng world stands.  All depend on this (living world). That (living body) is Purusa (person), sentient and  location of this Veda (Ayurveda). For him alone, this Veda is brought to light. ",Charak Samhita
35,46-47,Charak Samhita
36," In short, akasa etc. (akasa, vayu, tejas, ap and prthivl), self, mind, time and  space are dravyas (substances). Dravya having sense organ is sentient while that  without it is insentient. ",Charak Samhita
37,48,Charak Samhita
38, ,Charak Samhita
39,page_no: ,Charak Samhita
40,0,Charak Samhita
41," Sense objects (sabda, sparsa, rupa, rasa, gandha), properties beginning with  guru', knowledge, qualities ending with prayatna 1  2 and beginning with para 3 are called  gunas. The movement iniated by effort is called karma (action). ",Charak Samhita
42,49,Charak Samhita
43, Samavaya (inherence) is the inseparableness of prthivT etc. (dravya) with  their gunas (properties). This is eternal because no dravya (substance) is devoid of  property. ,Charak Samhita
44,50,Charak Samhita
45," Dravya (substance including drugs) is that where actions and properties are lo- cated and which is the material cause (of its effect). Guna (property) is related with  inherence (to dravya), is devoid of action and is (asamavayi-non-inherent) cause (of  its effect). ",Charak Samhita
46,51,Charak Samhita
47," The causative factor in conjunction and disjunction, located in dravya and  performance of that to be done is karma (action). Karma does not require another  factor. ",Charak Samhita
48,52,Charak Samhita
49," Thus described the cause. Now the effect, dhatusamya, is discussed here because  the object of this compendium is achievement of dhatusamya (equilibrium of sustain- ing and nourishing factors. ",Charak Samhita
50,53,Charak Samhita
51," Perverted, negative and excessive use of time, intellect and sense objects is the  threefold cause of both psychic and somatic disorders. ",Charak Samhita
52,54,Charak Samhita
53, Both body and mind are the locations of disorders as well as pleasures. The bal- anced use is the cause of pleasures. ,Charak Samhita
54,55,Charak Samhita
55," The supreme self is Changeless, is the cause of consciousness with the  conjunction of mind, properties of bhutas 4 and sense organs, is eternal and seer who  sees all the actions. ",Charak Samhita
56,56,Charak Samhita
57," 1. Guru-laghu, slta-usna, snigdha-ruksa, manda-tlksna, slaksna-khara, sandra-drava,   mrdukathina, sthira-sara, suksma-sthula, visada-picchila (20). 2. iccha, dwesa, sukha, duhkha, prayatna (5). 3. Para-apara, yukti,' Sankhya, Sarnyoga, Vibhaga, Prthaktva, Parimana, samskara, abhyasa (10). 4. Bhutas are five-prthivT, ap, tejas, vayu and akaSa. Their properties respectively are gandha,   rasa, rupa, sparsa and sabda. ",Charak Samhita
58,page_no:8 ,Charak Samhita
59,0,Charak Samhita
60," Vayu, pitta and kapha are, in short, somatic dosas 1 and rajas and tamas are the  psyehic ones. ",Charak Samhita
61,57,Charak Samhita
62," The former ones are pacified by the remedial measures of divine and rational  nature while the latter ones are treated with knowledge, specific knowledge, restraint,  memory and meditation. ",Charak Samhita
63,58,Charak Samhita
64," Vayu is non-unctuous, cold, light, subtle, mobile, non-slimy and rough in prop- erties and is pacified by substances having opposite properties. Pitta is slightly  unctuous, hot, sharp, liquid, sour, mobile and pungent and is pacified immediately  by substances having opposite properties. The properties of kapha (are)-heaviness,  coldness, softness, unctuousness, sweetness, immobility and sliminess, (which) are  subsided by (substances having) opposite properties. ",Charak Samhita
65,59-61,Charak Samhita
66,"Curable disorders recede by drugs having opposite properties and administered  with due consideration of place, dose and time. Treatment of incurable diseases is  not advised. ",Charak Samhita
67,62,Charak Samhita
68, Now the properties and actions accordings to drugs will be described in  details. ,Charak Samhita
69,63,Charak Samhita
70," Rasa is the object of rasana (gustatory sense organ). Its material substances are  ap and prthivT. In manifestation and differentiation of rasa, the other three akaSa etc.  (akasa, vayu and tejas) are causative factors. ",Charak Samhita
71,64,Charak Samhita
72," Sweet, sour, saline, pungent, bitter and astringent-this is the group of six rasas  (tastes). ",Charak Samhita
73,65,Charak Samhita
74," (Among these taste) sweet, sour and saline overcome vayu; astringent, sweet and  bitter subdue pitta and astringent, pungent and bitter win over kapha. [ 6 6] pungent-sour saline, sweet-sour-saline and pungent-bitter-astringent rasas  aggravate pitta, kapha and vata respectively. [ 1] 1. Factors responsible for physiological functions but capable of causing disorders are know   as dosas. ",Charak Samhita
75,page_no: ,Charak Samhita
76,0,Charak Samhita
77," Drug is a three types-(l) some (drug) is pacifier of dosas, (2) Some (drug)  vitiates dhatus and (3) some is taken as (responsible for) maintaining normal  health. ",Charak Samhita
78,67,Charak Samhita
79," That (drug) is again said as of three types (according to source)-(l) of animal  origin, (2) of earth origin and (3) of plant origin. Honey, milk and its products, bile,  fat, marrow, blood, flesh, faeces, urine, skin, semen, bone, ligament, horn, nail, hoof,  hairs including smaller ones, bile concretions are used from animals. Gold, five lohas  (silver, copper, iron, lead and tin) alongwith their excreta, silica, calcites, realgar,  orpiment, gems, salt, ochre, galena-this is the group of the drugs obtained from earth.  The drugs of vegetable origin are of four types, (1) vanaspati, (2) vlrudh, (3) vanaspatya  and (4) osadhi. Vanaspati is known by fruits, vanaspatya by both flowers and fruits,  osadhi perishes after fruiting and ripening and vlrudh is known by diffuseness. The  group of vegetable parts (used) is root, bark, heartwood, exudations, stalk, expressed  juice, tender leaves, alkali, latex, fruit, flower, ash, oil, thorn, leaves, leaf-buds, tu- bers and sprouts. ",Charak Samhita
80,68-73,Charak Samhita
81," The plants having useful roots are sixteen, those with useful fruits are nineteen,  mahasneha (greater fats) are four, salts are five, urines are enumerated as eight and  so the milks, trees useful for evacuation are six as shown by Punarvasu. That  who knows to administer them (properly) in disorders is (a real) knower of  (Ayurveda). ",Charak Samhita
82,74-76,Charak Samhita
83, 7C.S.-I ,Charak Samhita
84,page_no: ,Charak Samhita
85,0,Charak Samhita
86," adhoguda, saptala, sweta, dantl, gavaksT, jyotismatT, bimbl, sanapuspT, visanika,  ajagandha, dravantT and ksTrinl. Sanapuspl, bimbl and haimavatT are used for emesis,  sweta and jyotismatT are useful for head-evacuation. The remaining eleven are useful  for purgation. Thus the plant drugs having useful roots are mentioned with name  and action. ",Charak Samhita
87,77-79,Charak Samhita
88," Now listen about the plant drugs having useful fruits. They are-sahkhinT, vidanga,  trapusa, madana, dhamargava, iksvaku, jTmuta, krtavedhana, two types of klTtaka  aquatic and terrestrial, prakTrya, udakirya, apamarga, harTtakT, antahkotarapuspT, au- tumnal fruit of hastiparnT, fruits of kampillaka, aragvadha and kutaja, Dhamaragava,  iksvaku, jTmuta, krtavedhana, madana, kutaja, trapusa and hastiparnT-these may be  used for emesis and asthapana basti (non-unctuous enemata), Apamarga is prescribed  for nasal evacuation. The remaining ten are used for purgation. Thus nineteen fruits  (plant drugs having useful fruits) are described with names and actions. ",Charak Samhita
89,80-85,Charak Samhita
90," Fat is said as of four types-ghee, oil, muscle-fat and marrow. They are used for  intake, massage, enemata and snuff. These fats are mentioned as promoting unctuous- ness, vitality, complexion, strength and development and alleviating vata, pitta and  kapha.",Charak Samhita
91,86-87,Charak Samhita
92, ,Charak Samhita
93,page_no: ,Charak Samhita
94,0,Charak Samhita
95," (obtained from excreta), audbhida (obtained from earth) alongwith samudra (obtained  from sea water) are the five salts. They are unctuous, hot, sharp, best promoters of  agni (appetic and digestion) and are used in paste, oleation, fomentation, purgative,  emetic, non-unctuous and unctuous enema, massage, food, errhine, surgical meas- ures, suppositories, collyriums and anointings for indigestion, anaha, vata, gulma,  sula and udara. Thus are described the salts. ",Charak Samhita
96,88-91,Charak Samhita
97," Further listen about the eight urines which are mentioned as prominent ones in  horse and ass. In general, urine is hot, sharp, slightly non-unctuous, pungent-saline  (in properties) and is usuful in anointing, pasting, non-unctuous enema, purgatives,  fomentations, for anaha (hardness in bowels), poisoning (in agadas), udara, arsa,  gulma, kustha and kilasa and also in poultices, and sprinkling. This also promotes  appetite and digestion, a antipoison and antihelmintic and most beneficial for those  afflicted with panduroga. It pacifies kapha, carminates vata and draws pitta with  purgation. This is the general description of its properties mentioned by me, now  they will be described separately. Sheep urine is slightly bitter, unctuous and non-antagonist of pitta; goat urine  is astringent-sweet, beneficial (for channels) and alleviates (all) dosas; cow  urine is slightly sweet, somewhat alleviates dosas, destroys krimi and kustha, remo- ves itchings and, taken internally, is benefecial in udara caused by tridosa. BuffaloIJ______________________________ SUTRASTHANA______________________________11 ",Charak Samhita
98,page_no:12 ,Charak Samhita
99,0,Charak Samhita
100," urine is slightly alkaline, laxative and alleviates piles, sopha and udara. Elephant  urine is salty, beneficial for patients of krimi and kustha and commended for retention  of urine and faeces, poisons, disorders of kapha and piles. Camel urine is slightly  bitter, destroyer of dyspnoea, cough and piles. Horse urine is bitter-pungent and  -destroyer of kustha, wounds and poisons. Ass urine is destroyer of epilepsy, insanity  and grahas (seizures). Thus urines are described here according to potency and  application. ",Charak Samhita
101,92-104,Charak Samhita
102," Now milks will be described and also their properties and actions. The milks are  of sheep, she-goat, cow, she-buffalo, she-camel, she-elephant, mare and women, In  general, milk is sweet, unctuous, cold, galactogogue, refreshing, promotes body  weight, semen, intellects strength and mental ability, is vitaliser, fatigue-alleviating,  destroyer of dyspnoea, cough and innate haemorrhage; union-promoting in injuries,  whole-some for all living beings, pacifier (of dosas), eliminator (of malas), destroyer  of thirst and appetiser. This is the most useful in kslna (wasting), ksata (injuries),  anaemia, acid gastritis, Consumption, gaseous tumor, abdominal enlargement,  diarrhoea, fever, burning sensation, oedema, specifically in dis- orders of female  genital tract and semen, deficiency of urine, hardened stool and disorders of vata  and .pitta. Milk is everywhere used in snuffing, pasting, bathing, emesis, non-unctuous  enema, purgation and unction. (I) will describe again the properties of individual  milks separately in order in the chapter of food and drinks fully. ",Charak Samhita
103,105-113,Charak Samhita
104," Now there are other three trees-snuhl, arka and asmantaka which are different  from the plants of phalinT and mulinl groups. Asmantaka is known for emesis, latex  of snuhl for purgation and that of arka for both emesis and purgation. ",Charak Samhita
105,114-115,Charak Samhita
106, ,Charak Samhita
107,page_no: ,Charak Samhita
108,0,Charak Samhita
109," (They) also mentioned three other trees-putlka, krsnagandha and tilwaka tree  the barks of which are beneficial, putTka and tilwaka are used for purgation,  krsnagandha for parTsarpa (erysipelas), oedema, piles, ringworm, abscess, glands, skin  diseases and alajT. Scholar should also know about these evacuating six trees. Thus are described the fruity and rooty drugs, fats, salts, urines, milks, and six  trees the latex and bark of which are indicated. ",Charak Samhita
110,116-119,Charak Samhita
111," Goat-herds shepherds, cowherds and other forest-dwellers know the plants by  name and form. Nobody can comprehend fully about the plants only by knowing  (their) names or forms. He is the real knower of them who, after knowing the  name and form, has got knowledge of their administration., let alone the one who  knows plants in all aspects. He is the best physician who knows administration of  these (plants) according to place and time and also keeping in view the individual  constitution. ",Charak Samhita
112,120-123,Charak Samhita
113," msmi A drug, if unknown, is (fatal) like poison, weapon, fire and thunderbolt while, if  known, is (vitaliser) like nectar. A drug unknown by these-name, form and properties  (including actions)-and badly administered even if known are responsible for  complications. ",Charak Samhita
114,124-125,Charak Samhita
115," A sharp poison also becomes the best drug by proper administration, (on  the contrary) even the (best) drug is reduced to sharp poison, if administered badly.  Hence, the wise person desiring for (long) life and health should not take any  medicine administered by irrational physician (quack). Indra's thunderbolt, even when ",Charak Samhita
116,page_no:14 ,Charak Samhita
117,0,Charak Samhita
118," fallen on head, may let (somebody) survive but the medicine prescribed by ignorant  (physician) can't make a patient survive. Regarding himself as wise who, without  knowing, administers medicines to the afflicted, bedridden and faithful patient; man  falls into hell even on talking with this (physician) devoid of virtue, sinner, personi- fied death and wicked. The serpent poison is good or the intake of decocted copper or  the swallowing of red hot iron balls but (the acceptance of medicine) from one putting  on the robe of scholars is not at all (good). Receiving food, drink or money from the  surrendered patient is also not proper. Hence the wise one aspiring to become a physician should make full effort for  acquiring good qualities so that he may become life-giver to human beings. ",Charak Samhita
119,126-133,Charak Samhita
120, That very medicine may be taken as properly administered which is capable to  bring about disease-free condition and that very physician as the best one who could  relieve (the patient) of the disorders. ,Charak Samhita
121,134,Charak Samhita
122," Success shows the proper application of all the measures and success, in turn,  indicates the physician endowed with all the qualities. ",Charak Samhita
123,135,Charak Samhita
124," Now, the summing up verses- Emergence of Ayurveda, its cause and initiation, approval of the composition,  decision of Ayurveda, entire cause, effect, object of Ayurveda, etiological factors,  dosas, drugs, in brief, Rasas with their basic and auxiliary materials, three categories  of drugs, rooty and fruity drugs, fats, salts, urine, milks, the six trees of which latex  and barks are used, their actions, proper administration or otherwise alongwith their  merits and demerits, quacks, and qualified physicians in whom all the qualities are  found; all this has been described by the great sage in the first chapter. ",Charak Samhita
125,136-140,Charak Samhita
126, Thus ends the first chapter on longvity in Slokasthana in the treatise composed by Agnivesa and redacted by Caraka. ,Charak Samhita
127,1,Charak Samhita
128, ,Charak Samhita
129,page_no: ,Charak Samhita
130,0,Charak Samhita
131, As propounded by Lord Atreya. ,Charak Samhita
132,2,Charak Samhita
133," Seeds of apamarga; fruits of pippall, marica, vidanga, sigru, sarsapa and tumburu,  jlraka, ajagandha, pllu (fruits), ela, harenuka, prthvlka, susrasa, sveta, kutheraka,  phanijjaka, sirlsa (seeds), lasuna, haridra (two types), salts (two types), jyotismatT  and sunthl are used for evacuation (of dosas) of head in heaviness and pain in head,  chronic rhinitis, helminthiasis, epilepsy, anosmia and fainting. ",Charak Samhita
134,6-Mar,Charak Samhita
135," Madana, madhuka, nimba, devadalT, kosatakl, pippall, kutaja, iksvaku, ela and  dhamargava should be used by the physician for emesis in presence of kapha and  pitta in disorders of amasaya without producing any harmful effect on the  Trivrta, triphala, dantl, nTlinT, saptala, vaca, kampillaka, gavaksT, kslrinl,  udaklryaka, pllu, aragvadha, draksa, dravantl and nicula-these drugs may be used for  purgation in dosa located in pakvasaya (colon). ",Charak Samhita
136,10-Sep,Charak Samhita
137," Patala, agnim antha, bilva, syonaka, kasm arya, salaparnl, prsniparnl,  kantakarl, bala, goksura, brhatl, eranda, punarnava, yava, kulattha, kola, guducl,  madana, palasa, kattrna, fats and salts-these may be used for non-unctuous enema in ",Charak Samhita
138,page_no:16 ,Charak Samhita
139,0,Charak Samhita
140, udavarta and constipation. With this very group of drugs may be prepared  unctuous enema for alleviation of vata. Thus pancakarma (five measures) is said in  brief. ,Charak Samhita
141,14-Nov,Charak Samhita
142, These five measures may be applied to those having presence of dosas after  performing unction and sweating with due consideration of dosage and time. ,Charak Samhita
143,15,Charak Samhita
144," Proper administration (of drugs) depends on dosage and time and success is  based on proper administration. Hence, knower of proper administration always stand  at the top among the knowers of drugs. ",Charak Samhita
145,16,Charak Samhita
146,"dwimni iron Further, (I) will speak about gruels (prepared with) various drugs for alleviations  of various disorders amenable to them. ",Charak Samhita
147,17,Charak Samhita
148," The gruel prepared with pippall, pippallmula, cavya, citraka and sunthl stimu- lates appetite and relieves (colic) pain. ",Charak Samhita
149,18,Charak Samhita
150," The gruel prepared with kappittha, bilwa, cangerl, buttermilk and pomegranates  is digestive and astringent. The liquid gruel of smaller five roots' is useful for  diarrhoea with vata. ",Charak Samhita
151,19,Charak Samhita
152," The liquid gruel prepared with salaparnl, bala, bilwa, prsniparnl and soured pome- granates is useful for paittika and slaismika diarrhoeas. [ 2 0] The liquid gruel Processed with hrlbera, utpala, musta and prsniparnl and  prepared with goat's milk having half water alleviates blood diarrhoea and so is that  prepared with prsniparnl. [ 2 1] One should prescribe the gruel prepared with ativisa and sunthi and soured (with  pomegranates) in diarrhoea having ama. That of goksura and kantakarl alongwith  phanita should be prescribed in dysuria. [ 2 2] The gruel of vidanga, pippallmula, sigru and marica prepared with buttermilk  and having suvarcika (a kind of alkali) alleviates krimis (helminths). ",Charak Samhita
153,23,Charak Samhita
154," 1 1. salaparnl, prsniparnl, brhatl, kantakarl and goksura. ",Charak Samhita
155,page_no:17 ,Charak Samhita
156,0,Charak Samhita
157," That prepared with draksa, sariva, parched paddy, pippalT, honey and sunthT  alleviates (excessive) thirst. The one cooked with somarajT is anti-poison. ",Charak Samhita
158,24,Charak Samhita
159, The gruel prepared with pork juice is bulk-promoting. The one prepared with fried gavedhuka alongwith honey is emaciating. ,Charak Samhita
160,25,Charak Samhita
161, The gruel prepared with profuse sesamum and added with ghee and salt provides  unctuousness. The one of syamaka prepared with decoction of kusa and amalaka  produces roughness. ,Charak Samhita
162,26,Charak Samhita
163," The one prepared with ten roots 1 alleviates cough, hiccup, dyspnoea and kapha.  The one prepared with dual fat (ghee and oil) alongwith madira (wine) alleviates pain  in colon. ",Charak Samhita
164,27,Charak Samhita
165," That prepared with potherbs, meat, sesamum and black gram evacuates bowels.  That (prepared) with seeds of jambu and amra (mango), sour kapittha and bilwa is  astringent. ",Charak Samhita
166,28,Charak Samhita
167," That (prepared) with yavaksara (alkali obtained from barley plant), citraka, hingu  and amlavetasa is mass-breaking. The one with harTtakl, pippallmula and SunthT helps  carmination (passing of flatus). ",Charak Samhita
168,29,Charak Samhita
169, The gruel prepared with buttermilk relieves of untoward effects caused by (ex- cessive intake of) ghee. The one prepared with buttermilk and sesame paste is useful  in conditions caused by (excessive intake of) oil. ,Charak Samhita
170,30,Charak Samhita
171, The gruel prepared with beef juice and soured with pomegranates alleviates in- termittent fevers. The one prepared from barley in ghee and oil with pippalT and amalaka  is useful for throat. ,Charak Samhita
172,32,Charak Samhita
173, That prepared in chicken juice alleviates pain in seminal passage. That with split  black grams prepared in ghee and milk is aphrodisiac. ,Charak Samhita
174,32,Charak Samhita
175," 1 1.  bilwa, agnimantha, syonaka, gambharl, patala, salaparni, prsniparnl, brhatl, kantakari  and goksura. The first five are called as bigger roots (brhat pancamula) and the latter one  as smaller roots (laghu pancamula). Both together make daSamula (ten roots). 8C.S.-I ",Charak Samhita
176,page_no:18 ,Charak Samhita
177,0,Charak Samhita
178, The one prepared with upodika and curd alleviates narcosis. That of apamarga  cooked with milk and juice of inguana meat destroys hunger. ,Charak Samhita
179,33,Charak Samhita
180, Thus these twenty eight gruels have been described and the groups of drugs in  connection with five measures have been said. ,Charak Samhita
181,34,Charak Samhita
182," The drugs, which were mentioned earlier for the sake of knowledge of their  (useful) roots and fruits, have again been described (here) to indicate their  participation in the five measures. ",Charak Samhita
183,35,Charak Samhita
184," The physician endowed with memory, proficient in rational management, having  self-control and presence of mind is capable of treating (a patient) with combination  of durgs. ",Charak Samhita
185,36,Charak Samhita
186, Thus ends the second chapter on seeds of apamarga etc. in Slokasthana  in the treatise composed by Agnivesa and redacted by Caraka. (2) ,Charak Samhita
187,page_no: ,Charak Samhita
188,0,Charak Samhita
189, Now (I) shall expound the chapter on Aragvadha etc. ,Charak Samhita
190,1,Charak Samhita
191, As propounded by Lord Atreya. ,Charak Samhita
192,2,Charak Samhita
193," Aragvadha, cakramarda, karanja, vasa, guducl, madana and both (types of) haridra  (haridra and daruharidra); ( 1) Sarala, devadaru, khadira, dhava, nimba, vidanga and bark of karavira; (2)  Node of bhurja, lasuna, sirlsa, kaslsa, guggulu and sigru; (3) Phanijjaka, kutaja, saptaparna, pllu, kustha and tender leaves of jatl; (4) Vaca, harenu, trivrta, dantl, bhallataka, gairika and (red ochre) and anjana (galena); (5) Realgar, orpiment, soot, ela, kasTsa, lodhra, arjuna, musta and sarja; ( 6) These six formulations mentioned in half-verses are impregnated with ox-bile,  ground again and prepared with mustard oil and then used externally by physicians  alongwith the powder. Thus administered they destory in no time obstinate skin dis- ease, acute leucoderma, alopecia, kitibha (a skin disease), ringworm, fistula-in-ano,  piles, scrofula and papular eruptions in human beings. ",Charak Samhita
194,7-Mar,Charak Samhita
195,  reter i ,Charak Samhita
196,page_no:20 ,Charak Samhita
197,0,Charak Samhita
198," Kustha, both (types of) haridra, tulasl, patola, nimba, aswagandha, devadaru,  sigru, sarsapa, tumburu, dhanyaka, kaivarta mustaka and canda should be powdered  in equal quantity. These ground with buttermilk should be used for anointing the  body already smeared with oil. By this itching, boils, urticarial patches, skin diseases  and (various types of) oedema are alleviated. ",Charak Samhita
199,9-Aug,Charak Samhita
200," Kustha, tuttha (copper sulphate), daruharidra, kasisa, kampillaka, musta, lodhra,  sulphur, rala, vidanga, realgar, orpiment and bark of karavTra-these powered should  be prescribed for dusting on the body smeared with oil. Thus ringworm, itching, kitibha,  papular eruptions and eczema are relieved. [ 10-11] Realgar, orpiment, marica, (mustard) oil and latex of arka (plant) mixed together  make a paste for (alleviating) skin diseases. Similar is (that) prepared with copper  sulphate, vidanga, marica, kustha, lodhra and realgar. [ 12] U SIgqw flM i I Rasanjana and seed of cakramarda mixed with juice of kapittha make a paste (for  the same). Similar is the paste of karanja seeds, cakramarda and kustha ground with  cow's urine. ",Charak Samhita
201,13,Charak Samhita
202," Both (types of) haridra, kutaja seeds, karanja seeds, tender leaves of jatT,  bark and pith of karavTra mixed with alkali of sesamum make a paste (for skin  diseases). ",Charak Samhita
203,14,Charak Samhita
204," Realgar, kutaja bark, kustha, kasisa, cakramarda, karanja, bhurja node and karavTra  roots each 10 gm.-powder of all these should be cooked with tusodaka (a type  of vinegar) and the juice obtained from burning the palasa roots in adhaka quantity ",Charak Samhita
205,page_no:21 ,Charak Samhita
206,0,Charak Samhita
207, (2.56 litres) till ruduced to semi-solid state. The preparation is used as paste for alle- viating skin diseases. ,Charak Samhita
208,15-16,Charak Samhita
209," After grinding the leaves of aragvadha and kakamacT with butter milk, and also  with the leaves of karavTra; the body of the person smeared with oil should be annointed  (in parts affected with) skin diseases. ",Charak Samhita
210,17,Charak Samhita
211," Badara, kulattha, devadaru, rasna, black gram, linseed, oily seeds (castor etc.)  kustha, vaca, satapuspa, barley powder mixed up with vinegar and heated make a  useful paste for those suffering from vatika disorders. ",Charak Samhita
212,18,Charak Samhita
213," The hot vesavara (a preparation) prepared with meat of marshy animals and fish  makes a paste for alleviating vata. Similarly, the paste prepared with four fats (ghee,  oil, muscle fat and marrow), ten roots and aromatic drugs is destroyer of vata. ",Charak Samhita
214,19,Charak Samhita
215," 1 1 Barley powder mixed with buttermilk, heated and added with alkali removes  pain in abdomen. Kustha, satapuspa, vaca and barley powder mixed with oil and  vinegar is prescribed in vata. ",Charak Samhita
216,20,Charak Samhita
217,"  Both (types of) satapuspa, madhuyasti, madhuka, bala, priyala, kaseruka, vidarl  mixed with ghee and sugarcandy should be used as paste in vatarakta. ",Charak Samhita
218,21,Charak Samhita
219," Ghee prepared with rasna, guduci, madhuyasti, both (types of) bala, jivaka,  rsabhaka alongwith milk and added with bee-wax is used as paste for alleviating dis- comfort in raktavata. ",Charak Samhita
220,22,Charak Samhita
221,"  In vatarakta, wheat flour mixed with goat's milk and ghee is used as paste. In  headache, tagara, utpala, candana and kustha mixed with ghee is used as paste. ",Charak Samhita
222,23,Charak Samhita
223," Prapaundarlka, devadaru, kustha, madhuyasti, ela, kamala, utpala, aguru, eraka,  padmaka and coraka mixed with ghee make a paste for headache. ",Charak Samhita
224,24,Charak Samhita
225, ,Charak Samhita
226,page_no:22 ,Charak Samhita
227,0,Charak Samhita
228," Rasna, two (types of) haridra, jatamamsT, two (types of) Satapuspa, devadaru,  jlvantl roots and sugarcandy mixed with ghee and oil are used as warm paste in pain  in sides (of the chest). ",Charak Samhita
229,25,Charak Samhita
230," Saivala, kamala, utpala, vetra, punnaga, prapaundarTka, usTra, lodhra, priyangu,  kaleyaka and candana mixed with ghee make a heat-alleviating paste. ",Charak Samhita
231,26,Charak Samhita
232," Sveta m anjistha, vetasa, padmaka, madhuyasti, aindrT, kamala, durva,  roots of yavasa, kusa and kasa, hrTbera and eraka are (also used as) heat-  alleviating (paste). ",Charak Samhita
233,27,Charak Samhita
